checklist_ID,date,year,month,latitude,longitude,effort_hours,observer_ID,n_species,land_cover_code,land_cover
S16159516,2014-01-01,2014,1,16.0947634,-88.8353634,9.666666666666666,obsr246930,41,10,forest
S16160400,2014-01-01,2014,1,20.985803400000002,-87.2135925,3,obsr411187,83,30,grassland
S16160982,2014-01-01,2014,1,20.0895688,-89.5498046,0.4666666666666667,obsr174363,12,10,forest
S16164120,2014-01-01,2014,1,21.3303151,-86.9238281,1.5,obsr411187,15,10,forest
S16170293,2014-01-01,2014,1,18.9894147,-86.0284424,0.5,obsr402422,11,NA,other
S16170506,2014-01-01,2014,1,14.3996211,-90.7569087,0.25,obsr402422,8,10,forest
S16170831,2014-01-01,2014,1,14.3990599,-90.7584053,0.25,obsr402422,18,10,forest
S16171199,2014-01-01,2014,1,14.4034348,-90.7567424,0.4166666666666667,obsr402422,14,10,forest
S16171623,2014-01-01,2014,1,14.408828,-90.7531321,4.333333333333333,obsr402422,33,10,forest
S16171677,2014-01-01,2014,1,14.4106985,-90.7449245,0.16666666666666666,obsr402422,1,10,forest
S16176894,2014-01-01,2014,1,15.3714981,-90.3507898,0.6666666666666666,obsr164576,13,30,grassland
S16176945,2014-01-01,2014,1,15.3194528,-90.3511021,0.16666666666666666,obsr164576,5,50,urban
S16177102,2014-01-01,2014,1,15.2326057,-90.2846551,2.75,obsr164576,66,10,forest
S16177236,2014-01-01,2014,1,15.1937535,-90.2956329,3.4166666666666665,obsr164576,32,10,forest
S16177289,2014-01-01,2014,1,15.2326057,-90.2846551,0.5,obsr164576,5,10,forest
S16177312,2014-01-01,2014,1,15.2472016,-90.2714807,NA,obsr164576,3,30,grassland
S16177323,2014-01-01,2014,1,15.2362075,-90.2364323,NA,obsr164576,4,30,grassland
S16177399,2014-01-01,2014,1,15.2158651,-90.2195889,1,obsr164576,13,10,forest
S16177472,2014-01-01,2014,1,15.202285,-90.2039571,1.25,obsr164576,13,10,forest
S16178835,2014-01-01,2014,1,15.3714981,-90.3507898,NA,obsr164576,1,30,grassland
S16182409,2014-01-01,2014,1,14.6235872,-90.571326,NA,obsr411126,6,10,forest
S16186116,2014-01-02,2014,1,21.148954,-88.1676435,1.4166666666666667,obsr439605,32,50,urban
S16187073,2014-01-02,2014,1,15.4855072,-90.3607893,0.75,obsr418529,38,10,forest
S16189936,2014-01-01,2014,1,14.8535168,-91.5131521,NA,obsr57637,7,50,urban
S16190215,2014-01-02,2014,1,14.7610326,-90.9915912,4.75,obsr292335,44,50,urban
S16190703,2014-01-02,2014,1,15.6092,-90.38343,4.583333333333333,obsr164576,56,10,forest
S16190922,2014-01-02,2014,1,15.6021435,-90.3884619,0.5,obsr164576,17,30,grassland
S16190987,2014-01-02,2014,1,15.3616901,-90.3650768,0.9166666666666666,obsr164576,9,50,urban
S16191639,2014-01-01,2014,1,17.0394291,-88.9511919,2,obsr247125,47,30,grassland
S16191777,2014-01-01,2014,1,17.0691746,-88.9677787,3.75,obsr247125,77,10,forest
S16194294,2014-01-02,2014,1,20.6019362,-88.1433105,4,obsr442691,8,10,forest
S16194504,2014-01-02,2014,1,15.3650808,-90.4690218,0.4166666666666667,obsr164576,16,10,forest
S16194522,2014-01-02,2014,1,15.3625461,-90.4759448,0.5,obsr164576,14,10,forest
S16194537,2014-01-02,2014,1,15.355956,-90.4784632,0.16666666666666666,obsr164576,7,50,urban
S16194551,2014-01-02,2014,1,15.4743611,-90.3912699,0.21666666666666667,obsr164576,8,30,grassland
