species_code,scientific_name,body_mass_g,beak_length_culmen,beak_length_nares,beak_width,wing_length,trophic_niche
NA,Accipiter bicolor,287.5,25,13.7,8.6,229.6,Vertivore
NA,Accipiter cooperii,429.7,25.4,13.9,8.6,241.2,Vertivore
shshaw,Accipiter striatus,130.6,18.3,10.1,7.3,181.6,Vertivore
blchaw1,Busarellus nigricollis,766.1,40.8,27.1,12.5,393.5,Aquatic predator
zothaw,Buteo albonotatus,745.9,35.1,21.1,12.7,398,Vertivore
shthaw,Buteo brachyurus,496,31.1,17,10.4,307.6,Vertivore
rethaw,Buteo jamaicensis,1101.2,37.6,22.9,14.4,402.8,Vertivore
gryhaw2,Buteo plagiatus,519,34.1,20.9,11.4,267.9,Vertivore
brwhaw,Buteo platypterus,453.7,28.3,17.8,11.1,277.7,Vertivore
swahaw,Buteo swainsoni,946.6,35.3,21,13.6,383.7,Vertivore
comblh1,Buteogallus anthracinus,975.1,39.6,25.1,12.9,355.2,Aquatic predator
soleag1,Buteogallus solitarius,3000,58.6,36.8,18.7,526.2,Vertivore
grbhaw1,Buteogallus urubitinga,1152.9,46,29.2,14.6,399.7,Vertivore
hobkit,Chondrohierax uncinatus,286.1,36.2,27,12.4,285.3,Invertivore
norhar2,Circus hudsonius,393,31.1,17.2,10.1,360.9,Vertivore
swtkit,Elanoides forficatus,416.2,29.4,19,10.2,412.8,Invertivore
whtkit,Elanus leucurus,346,25.3,15.3,8.8,294,Vertivore
whthaw,Geranoaetus albicaudatus,885,37.4,22.3,13.8,427,Vertivore
crahaw,Geranospiza caerulescens,302.5,25.9,16.5,9.6,269.1,Vertivore
dotkit1,Harpagus bidentatus,215.3,23.7,14.6,11.3,210.3,Invertivore
miskit,Ictinia mississippiensis,276,23,14.7,11,291.8,Invertivore
plukit1,Ictinia plumbea,249.9,23.9,15.1,10.8,285.6,Invertivore
grhkit1,Leptodon cayanensis,474,33.9,22.4,11.5,302.8,Omnivore
creeag1,Morphnus guianensis,1750,48.4,30.3,14.6,464.8,Vertivore
hrshaw,Parabuteo unicinctus,850.3,34.4,21.4,11.4,320.8,Vertivore
whihaw1,Pseudastur albicollis,703.7,38.8,24.8,14.2,358.3,Vertivore
snakit,Rostrhamus sociabilis,366.9,33.1,23.8,11.1,344.8,Aquatic predator
roahaw,Rupornis magnirostris,269,26.4,17.4,10.4,220.9,Vertivore
bawhae1,Spizaetus melanoleucus,850,40.9,23.9,12.8,400.6,Vertivore
orheag1,Spizaetus ornatus,1197.4,39.1,23.7,12.3,353,Vertivore
blheag1,Spizaetus tyrannus,1007.1,42.3,24.9,12.1,384.4,Vertivore
osprey,Pandion haliaetus,1483.2,47,27.7,17.3,468.4,Aquatic predator
norpin,Anas acuta,944.6,48.1,31.9,14.5,256.7,Herbivore aquatic
gnwtea,Anas crecca,341.9,35.8,29.6,12.1,180.4,Herbivore aquatic
snogoo,Anser caerulescens,2636.2,61.8,36,19.4,411.8,Herbivore terrestrial
lessca,Aythya affinis,819.5,47.3,29.4,19.6,198.2,Aquatic predator
redhea,Aythya americana,1075.7,49.7,33,18.8,218.6,Herbivore aquatic
rinduc,Aythya collaris,704.6,51.4,29.9,18.9,194.8,Herbivore aquatic
gresca,Aythya marila,1005.4,47.8,29.7,22.9,213.5,Aquatic predator
canvas,Aythya valisineria,1202,58.5,37,18.8,223.5,Herbivore aquatic
musduc,Cairina moschata,2415.8,65.9,38.7,22.6,345,Omnivore
blkswa,Cygnus atratus,5623.2,71.4,39.9,24.4,459.2,Herbivore aquatic
mutswa,Cygnus olor,10682,96.1,56.7,31,581.5,Herbivore aquatic
bbwduc,Dendrocygna autumnalis,755.3,50.8,34.6,18.3,240.8,Herbivore terrestrial
fuwduc,Dendrocygna bicolor,756.4,50.8,33.4,17.6,223,Omnivore
amewig,Mareca americana,754.6,44.9,26.9,16,253.2,Omnivore
gadwal,Mareca strepera,915.6,48.7,34.7,16.5,251.3,Herbivore aquatic
sursco,Melanitta perspicillata,1096.3,58.8,25.2,21.6,226.3,Aquatic predator
rebmer,Mergus serrator,1015.2,65,42.8,8.2,233.6,Aquatic predator
masduc,Nomonyx dominicus,365,39.6,22.2,16.2,138.1,Herbivore aquatic
rudduc,Oxyura jamaicensis,608.2,45.4,24.4,20.9,139.6,Aquatic predator
norsho,Spatula clypeata,612.6,68.8,47.9,18.6,226.4,Aquatic predator
buwtea,Spatula discors,359.4,47.3,31.8,15.6,178.3,Herbivore aquatic
whtswi,Aeronautes saxatalis,32.1,7,3,2.9,140.3,Invertivore
chiswi,Chaetura pelagica,23.6,6.3,3.5,2.9,124.4,Invertivore
vauswi,Chaetura vauxi,17.1,5.3,2.8,2.4,111.3,Invertivore
